symptoms,disease,icd10_code,severity,medication
fever;cough;fatigue,Influenza,J10,2,Oseltamivir
headache;nausea;sensitivity to light,Migraine,G43,2,Sumatriptan
chest pain;shortness of breath,Myocardial Infarction,I21,3,Aspirin
sore throat;runny nose,Common Cold,J00,1,Acetaminophen
abdominal pain;diarrhea;vomiting,Gastroenteritis,A09,2,Loperamide
joint pain;swelling;redness,Arthritis,M13,2,Ibuprofen
frequent urination;thirst;fatigue,Diabetes,E11,3,Metformin
weight loss;night sweats;fatigue,Tuberculosis,A16,3,Isoniazid
fever;rash;muscle pain,Dengue,A90,2,Paracetamol
itching;redness;swelling,Allergic Reaction,T78,1,Antihistamines
fever;sore throat;swollen lymph nodes,Mononucleosis,B27,2,Acyclovir
persistent cough;weight loss;night sweats,Chronic Bronchitis,J42,2,Bronchodilators
dizziness;fainting;palpitations,Arrhythmia,I49,3,Amiodarone
blurred vision;eye pain;headache,Glaucoma,H40,2,Timolol
fever;headache;stiff neck,Meningitis,G00,3,Ceftriaxone
persistent cough;blood in sputum,Tuberculosis,A15,3,Rifampicin
severe abdominal pain;loss of appetite,Appendicitis,K35,3,Amoxicillin
fever;chills;sweating,Malaria,B50,3,Chloroquine
fatigue;pale skin;shortness of breath,Anemia,D50,2,Iron Supplements
persistent headache;high blood pressure,Hypertension,I10,2,Lisinopril
abdominal pain;bloody stool,Ulcerative Colitis,K51,2,Mesalamine
chest pain;rapid heartbeat,Angina,I20,3,Nitroglycerin
sudden numbness;slurred speech;confusion,Stroke,I63,3,Alteplase
fatigue;weight gain;cold intolerance,Hypothyroidism,E03,2,Levothyroxine
difficulty breathing;wheezing,Asthma,J45,2,Albuterol
abdominal bloating;gas;diarrhea,Irritable Bowel Syndrome,K58,1,Antispasmodics
swollen gums;bad breath;loose teeth,Periodontitis,K05,2,Chlorhexidine
fever;headache;muscle pain,Zika Virus,A92,2,Acetaminophen
persistent back pain;stiffness,Spinal Stenosis,M48,2,NSAIDs
yellowing of skin;dark urine;fatigue,Hepatitis B,B18,2,Entecavir
persistent sore throat;difficulty swallowing,Strep Throat,J02,1,Penicillin
severe headache;blurred vision;neck stiffness,Encephalitis,A85,3,Acyclovir
abdominal pain;loss of appetite;dark urine,Hepatitis C,B19,2,Sofosbuvir
severe joint pain;fever;swelling,Chikungunya,A92.0,2,NSAIDs
fever;vomiting;diarrhea,Salmonella Infection,A02,2,Fluoroquinolones
frequent urination;pelvic pain;blood in urine,Bladder Infection,N30,2,Ciprofloxacin
persistent cough;fever;night sweats,Lung Cancer,C34,3,Cisplatin
fever;chills;muscle pain,Yellow Fever,A95,2,Vaccination
sudden severe headache;vomiting;blurred vision,Brain Tumor,C71,3,Temozolomide
painful urination;frequent urination,Urinary Tract Infection,N39,1,Nitrofurantoin
fever;cough;shortness of breath,Pneumonia,J18,3,Azithromycin
abdominal pain;blood in stool,Colon Cancer,C18,3,Capecitabine
severe headache;vomiting;seizures,Epilepsy,G40,2,Levetiracetam
persistent itching;red patches,Psoriasis,L40,2,Topical Steroids
persistent dry cough;night sweats,Sarcoidosis,D86,2,Prednisone
double vision;drooping eyelids,Myasthenia Gravis,G70,3,Pyridostigmine
burning sensation during urination,Interstitial Cystitis,N30.1,2,Amitriptyline
persistent diarrhea;abdominal cramps,Crohn's Disease,K50,2,Infliximab
persistent cough;shortness of breath,Chronic Obstructive Pulmonary Disease,J44,3,Tiotropium
fatigue;swollen lymph nodes;easy bruising,Leukemia,C91,3,Imatinib
weakness;fatigue;dark urine,G6PD Deficiency,D55,2,Folic Acid
severe joint pain;stiffness;swelling,Rheumatoid Arthritis,M06,2,Methotrexate
fatigue;swollen glands;headache,Lyme Disease,A69,2,Doxycycline
severe headaches;vision problems;balance issues,Multiple Sclerosis,G35,3,Interferon Beta
chronic fatigue;muscle pain;memory issues,Fibromyalgia,M79.7,2,Pregabalin
persistent chest pain;palpitations,Heart Failure,I50,3,Carvedilol
persistent cough;wheezing;shortness of breath,Bronchiectasis,J47,2,Azithromycin
persistent abdominal pain;diarrhea;weight loss,Celiac Disease,K90,2,Gluten-Free Diet
muscle pain;fever;headache,Rocky Mountain Spotted Fever,A77,3,Doxycycline
persistent cough;fatigue;weight loss,Non-Hodgkin Lymphoma,C85,3,Rituximab
persistent headache;fever;stiff neck,Fungal Meningitis,B37.5,3,Amphotericin B
chronic abdominal pain;constipation;diarrhea,Diverticulitis,K57,2,Ciprofloxacin
persistent fatigue;weakness;weight loss,HIV Infection,B20,3,Antiretroviral Therapy
fatigue;muscle weakness;dark urine,Adrenal Insufficiency,E27,2,Fludrocortisone
severe abdominal pain;vomiting;diarrhea,Food Poisoning,A05,2,Antibiotics
joint pain;swelling;redness;warmth,Cellulitis,L02,2,Antibiotics
fever;chills;headache;muscle pain,Brucellosis,A23,2,Doxycycline
abdominal pain;nausea;vomiting,Gallstones,K80,2,Ursodiol
severe joint pain;swelling;redness;warmth,Osteoarthritis,M15,2,NSAIDs
fatigue;weight gain;hair loss,Cushing's Syndrome,E24,2,Ketoconazole
severe headache;vomiting;sensitivity to light,Cluster Headache,G44,2,Sumatriptan
abdominal pain;nausea;vomiting,Cholecystitis,K81,2,Ursodiol
persistent cough;shortness of breath;fatigue,Emphysema,J43,3,Tiotropium
severe joint pain;swelling;redness;warmth,Ankylosing Spondylitis,M45,2,NSAIDs
abdominal pain;nausea;vomiting,Peptic Ulcer,K25,2,Antacids
severe joint pain;swelling;redness;warmth,Osteoporosis,M80,2,Bisphosphonates
skin rash;fever;joint pain,Systemic Lupus Erythematosus,M32,3,Hydroxychloroquine
excessive thirst;frequent urination;blurred vision,Diabetes Insipidus,E23.2,2,Desmopressin
tremors;stiffness;slow movement,Parkinson's Disease,G20,3,Levodopa
memory loss;confusion;personality changes,Alzheimer's Disease,G30,3,Donepezil
abdominal pain;yellowing of skin;dark urine,Hepatitis A,B15,2,Supportive care
red;itchy eyes;runny nose;sneezing,Allergic Rhinitis,J30,1,Loratadine
bone pain;fractures;kidney stones,Hyperparathyroidism,E21,2,Cinacalcet
excessive sweating;rapid heartbeat;weight loss,Hyperthyroidism,E05,2,Methimazole
mood swings;depression;anxiety,Bipolar Disorder,F31,2,Lithium
hallucinations;delusions;disorganized speech,Schizophrenia,F20,3,Risperidone
joint pain;skin rashes;kidney problems,Mixed Connective Tissue Disease,M35.1,3,Prednisone
difficulty speaking;muscle weakness;vision problems,Amyotrophic Lateral Sclerosis,G12.2,3,Riluzole
excessive daytime sleepiness;sudden loss of muscle tone,Narcolepsy,G47.4,2,Modafinil
muscle pain;weakness;dark urine,Rhabdomyolysis,M62.8,3,Intravenous fluids
frequent infections;anemia;bone pain,Multiple Myeloma,C90,3,Bortezomib
chest pain;shortness of breath;leg swelling,Pulmonary Embolism,I26,3,Heparin
abdominal pain;jaundice;fever,Cholangitis,K83.0,3,Antibiotics
muscle stiffness;spasms;difficulty walking,Cerebral Palsy,G80,3,Baclofen
excessive hair growth;irregular periods;acne,Polycystic Ovary Syndrome,E28.2,2,Metformin
vision loss;eye pain;halos around lights,Acute Angle-Closure Glaucoma,H40.2,3,Timolol
swollen lymph nodes;night sweats;itching,Hodgkin's Lymphoma,C81,3,ABVD chemotherapy
painful;swollen joints;fever;fatigue,Juvenile Idiopathic Arthritis,M08,2,Naproxen
difficulty swallowing;heartburn;regurgitation,Gastroesophageal Reflux Disease,K21,2,Omeprazole
muscle weakness;drooping eyelids;double vision,Lambert-Eaton Syndrome,G73.1,3,Diaminopyridine
blood in urine;flank pain;fever,Kidney Stones,N20,2,Tamsulosin
excessive hunger;weight loss;increased thirst,Type 1 Diabetes,E10,3,Insulin
joint pain;skin rash;fever,Lyme Disease,A69.2,2,Doxycycline
difficulty concentrating;hyperactivity;impulsiveness,ADHD,F90,2,Methylphenidate
persistent sad mood;loss of interest;sleep changes,Major Depressive Disorder,F32,3,Sertraline
diarrhea;abdominal pain;mucus in stool,Microscopic Colitis,K52.8,2,Budesonide
facial pain;nasal congestion;headache,Sinusitis,J01,2,Amoxicillin
painful urination;lower back pain;fever,Pyelonephritis,N10,3,Ciprofloxacin
nose bleeds;easy bruising;prolonged bleeding,Von Willebrand Disease,D68.0,2,Desmopressin
difficulty swallowing;chest pain;regurgitation,Achalasia,K22.0,2,Nifedipine
joint stiffness;fatigue;low-grade fever,Polymyalgia Rheumatica,M35.3,2,Prednisone
shortness of breath;chest pain;coughing up blood,Pulmonary Fibrosis,J84.1,3,Pirfenidone
eye redness;light sensitivity;blurred vision,Uveitis,H20,2,Prednisolone eye drops
excessive daytime sleepiness;loud snoring;morning headaches,Sleep Apnea,G47.3,2,CPAP therapy
abdominal swelling;weight gain;shortness of breath,Cirrhosis,K74,3,Spironolactone
neck swelling;difficulty swallowing;hoarseness,Thyroid Cancer,C73,3,Radioactive iodine
memory loss;personality changes;difficulty with daily tasks,Frontotemporal Dementia,G31.0,3,Selective serotonin reuptake inhibitors
red;scaly rash;joint pain,Psoriatic Arthritis,L40.5,2,Methotrexate
burning chest pain;difficulty swallowing;regurgitation,Eosinophilic Esophagitis,K20.0,2,Fluticasone
excessive sweating;rapid heartbeat;tremor,Graves' Disease,E05.0,2,Methimazole
vision loss;eye pain;redness,Temporal Arteritis,M31.6,3,High-dose corticosteroids
abdominal pain;bloating;early satiety,Gastroparesis,K31.84,2,Metoclopramide
muscle weakness;difficulty climbing stairs;waddling gait,Muscular Dystrophy,G71,3,Corticosteroids
hair loss;nail changes;skin rash,Alopecia Areata,L63,2,Topical corticosteroids
muscle weakness;difficulty breathing;fatigue,Guillain-Barré Syndrome,G61.0,3,Intravenous immunoglobulin
pain in big toe;redness;swelling,Gout,M10,2,Colchicine
frequent infections;swollen lymph nodes;fatigue,Primary Immunodeficiency,D84.9,3,Immunoglobulin therapy
joint pain;muscle weakness;rash on knuckles,Dermatomyositis,M33.1,3,Corticosteroids
swollen salivary glands;dry eyes;dry mouth,Sjögren's Syndrome,M35.0,2,Pilocarpine
persistent fever;rash;joint pain,Still's Disease,M06.1,3,Anakinra
vision changes;headaches;nausea,Idiopathic Intracranial Hypertension,G93.2,2,Acetazolamide
chest pain;rapid heartbeat;fainting,Hypertrophic Cardiomyopathy,I42.2,3,Beta-blockers
brittle nails;hair loss;fatigue,Iron Deficiency Anemia,D50.9,2,Iron supplements
skin thickening;joint pain;fatigue,Systemic Sclerosis,M34,3,Methotrexate
difficulty swallowing;muscle weakness;slurred speech,Myasthenia Gravis,G70.0,3,Pyridostigmine
chest pain;cough;fever,Pleurisy,R09.1,2,NSAIDs
abdominal pain;jaundice;fever,Primary Biliary Cholangitis,K74.3,3,Ursodeoxycholic acid
facial pain;headache;runny nose,Trigeminal Neuralgia,G50.0,2,Carbamazepine
difficulty breathing;wheezing;chest tightness,Cystic Fibrosis,E84,3,Ivacaftor
joint pain;skin rash;mouth ulcers,Behçet's Disease,M35.2,2,Colchicine
muscle pain;weakness;dark urine,Polymyositis,M33.2,3,Prednisone
abdominal pain;bloating;weight loss,Celiac Disease,K90.0,2,Gluten-free diet
vision loss;eye pain;headache,Optic Neuritis,H46,2,Intravenous methylprednisolone
numbness in extremities;tingling;burning pain,Peripheral Neuropathy,G60,2,Gabapentin
facial drooping;arm weakness;speech difficulties,Bell's Palsy,G51.0,2,Prednisone
excessive thirst;frequent urination;slow-healing wounds,Gestational Diabetes,O24.4,2,Insulin
abdominal pain;rectal bleeding;urgency to defecate,Ulcerative Proctitis,K51.2,2,Mesalamine suppositories
skin redness;blisters;itching,Shingles,B02,2,Acyclovir
difficulty breathing;chest tightness;coughing,Bronchitis,J20,2,Dextromethorphan
swollen lymph nodes;fever;night sweats,Castleman Disease,D47.Z2,3,Siltuximab
difficulty speaking;facial weakness;arm weakness,Transient Ischemic Attack,G45,3,Aspirin
excessive daytime sleepiness;cataplexy;sleep paralysis,Narcolepsy Type 1,G47.41,3,Sodium oxybate
joint pain;fatigue;memory problems,Chronic Fatigue Syndrome,G93.3,2,Cognitive behavioral therapy
